war,salary,position
6.1,12359375,B1
5.2,20000000,B1
4.9,5833333,B1
4.9,5285714,B1
3.9,6200000,B1
3.5,523900,B1
3.2,6833333,B1
2.4,510000,B1
1,2500000,B1
0,5700000,B1
-0.2,2650000,B1
3.6,28000000,B1
3,22750000,B1
2.9,21268890,B1
2,11666667,B1
1.3,21000000,B1
1,23000000,B1
0.8,25000000,B1
0.2,8250000,B1
6.8,3687500,B2
6.3,24000000,B2
6.3,3000000,B2
5.6,8000000,B2
5.4,14000000,B2
4.9,12642511,B2
4.7,6166667,B2
4.4,3000000,B2
4,10500000,B2
3.8,525000,B2
2.7,2250000,B2
2.5,522700,B2
2.3,522500,B2
2.2,7000000,B2
1.8,545000,B2
1.3,8000000,B2
1.1,5500000,B2
0.2,518100,B2
0.9,13083333,B2
0.8,9540378,B2
7.9,652000,B3
7.6,11650000,B3
6.3,5000000,B3
5.5,18000000,B3
5.2,8000000,B3
5,5000000,B3
5,5100000,B3
4.5,12600018,B3
4.3,2800000,B3
3.8,11000000,B3
2.8,8250000,B3
2.7,13000000,B3
2.4,520300,B3
1.7,7000000,B3
1.7,517500,B3
1.5,3150000,B3
1.4,545000,B3
1.3,515000,B3
0.6,508750,B3
6.7,21111111,C
4.6,4100000,C
3.6,5350000,C
3.6,15000000,C
3.3,8450000,C
2.1,532500,C
0.3,527500,C
0.3,2000000,C
9.7,16083333,CF
8.3,566000,CF
5.3,546500,CF
4.7,3500000,CF
4.6,8000000,CF
3.7,528000,CF
2.4,521100,CF
2.4,570000,CF
2.4,4150000,CF
3.7,27328046,CF
3.1,16000000,CF
4.4,14250000,DH
4,10000000,DH
0.9,9000000,DH
4.8,30000000,DH
1.1,18000000,DH
3.5,8000000,LF
2.4,524500,LF
2.2,14000000,LF
1.9,22125000,LF
1.3,15450000,LF
1.3,21733615,LF
1.1,11250000,LF
5.9,3050000,LF
5.4,1178571,LF
3.7,3666666,LF
1.2,6333333,RF
3.3,19315013,CF
2.6,14000000,RF
2.1,16329674,RF
1.8,21857142,RF
0.6,13000000,RF
0.3,12541666,RF
5,522400,RF
3.5,3400000,RF
3.1,523000,RF
2.9,5000000,RF
2.3,6750000,RF
2.2,535000,RF
2.2,9150000,RF
1.9,512500,RF
1.6,2900000,RF
2.6,17428571,RF
2.4,15000000,RF
1.2,11000000,RF
1,13208333,RF
1,19555288,RF
0.8,21500000,RF
3,1350000,SP
2.9,4225000,SP
1.2,512100,SP
3,3466666,SP
6.3,2800000,SP
6,535375,SP
4.9,5400000,SP
4.9,4700000,SP
4.2,541000,SP
3.6,509500,SP
3.5,517800,SP
3.4,7000000,SP
3.3,515900,SP
3.3,543400,SP
3.3,521000,SP
3.2,4300000,SP
3.2,539000,SP
3.1,532000,SP
3,516000,SP
2.9,2958333,SP
2.9,3125000,SP
2.7,529000,SP
2.7,518000,SP
2.6,1697500,SP
2.5,512500,SP
2.3,3150000,SP
2,5100000,SP
1.9,512500,SP
1.8,520700,SP
1.8,3750000,SP
1.5,524100,SP
1.1,3500000,SP
1,2250000,SP
0.8,5000000,SP
0.7,511500,SP
0.5,522300,SP
5.6,22142856,SP
5.4,28000000,SP
5.3,9150000,SP
5.1,20125000,SP
4.9,16666666,SP
4.7,22000000,SP
4.4,30000000,SP
4.3,9916667,SP
4.2,25000000,SP
3.5,13500000,SP
3.5,10700000,SP
3.3,22500000,SP
2.9,16000000,SP
2.8,10000000,SP
2.8,12100000,SP
2.8,12000000,SP
2.8,19500000,SP
2.7,11500000,SP
2.6,25000000,SP
2.5,6225000,SP
2.5,13000000,SP
2.4,7250000,SP
2.4,7250000,SP
2.2,10800000,SP
2,7500000,SP
1.7,9500000,SP
1.3,9000000,SP
1.1,11500000,SP
0.8,12000000,SP
0.8,7000000,SP
0.5,508500,SP
0.1,20200000,SP
-1,21250000,SP
6.9,510000,SS
5.5,540300,SS
5.2,6000000,SS
5.2,516700,SS
5,2600000,SS
4.9,650000,SS
4.7,518200,SS
3.3,527000,SS
3,512900,SS
2.9,1475000,SS
2.7,2425000,SS
2.3,527600,SS
2.3,2000000,SS
2.2,2100000,SS
2.1,512500,SS
1.9,2925000,SS
1.4,2075000,SS
1.3,2875000,SS
0.5,5250000,SS
0.4,2625000,SS
0.4,2000000,SS
-1.6,3000000,SS
3,20000000,SS
2.3,15250000,SS
